id,artist.inverted,track,time,genre
1,Destiny's Child,Independent Women Part I,3:38,Rock
2,Santana,"Maria, Maria",4:18,Rock
3,Savage Garden,I Knew I Loved You,4:07,Rock
4,Madonna,Music,3:45,Rock
5,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock
6,Janet,Doesn't Really Matter,4:17,Rock
7,Destiny's Child,Say My Name,4:31,Rock
8,"Iglesias, Enrique",Be With You,3:36,Latin
9,Sisqo,Incomplete,3:52,Rock
10,Lonestar,Amazed,4:25,Country
11,N'Sync,It's Gonna Be Me,3:10,Rock
12,"Aguilera, Christina",What A Girl Wants,3:18,Rock
13,Vertical Horizon,Everything You Want,4:01,Rock
14,Creed,With Arms Wide Open,3:52,Rock
15,Aaliyah,Try Again,4:03,Rock
16,matchbox twenty,Bent,4:12,Rock
17,"Carey, Mariah",Thank God I Found You,4:14,Rock
18,"Hill, Faith",Breathe,4:04,Rap
19,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock
20,Dream,He Loves U Not,3:43,Rock
21,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock
22,"Anthony, Marc",You Sang To Me,3:50,Latin
23,98�,Give Me Just One Night (Una Noche),3:24,Rock
24,Destiny's Child,Jumpin' Jumpin',3:48,Rock
25,3 Doors Down,Kryptonite,3:53,Rock
26,Sisqo,Thong Song,4:05,Rock
27,"Aguilera, Christina",I Turn To You,4:00,Rock
28,"Houston, Whitney",My Love Is Your Love,4:16,Rock
29,Joe,I Wanna Know,4:57,Rock
30,"Jordan, Montell",Get It On.. Tonite,4:34,Rap
31,N'Sync,Bye Bye Bye,3:15,Rock
32,Eminem,The Real Slim Shady,4:42,Rap
33,Pink,Most Girls,4:06,Rock
34,"Mumba, Samantha",Gotta Tell You,3:19,Rock
35,Blaque,Bring It All To Me,3:46,Pop
36,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap
37,"Gray, Macy",I Try,3:52,Rock
38,N'Sync,This I Promise You,4:23,Rock
39,Ruff Endz,No More,3:56,Rock
40,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock
41,Nine Days,Absolutely (Story Of A Girl),3:09,Rock
42,"Dion, Celine",That's The Way It Is,4:03,Rock
43,Blink-182,All The Small Things,2:52,Rock
44,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica
45,"Badu, Erkyah",Bag Lady,5:03,Rock
46,Pink,There U Go,3:23,Rock
47,Creed,Higher,5:16,Rock
48,Nelly,(Hot S**t) Country Grammar,4:17,Rap
49,Next,Wifey,4:03,Rock
50,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz
51,Sonique,It Feels So Good,3:48,Rock
52,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock
53,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock
54,Everclear,Wonderful,4:30,Rock
55,Ja Rule,Between Me And You,4:05,Rap
56,"Rimes, LeAnn",I Need You,3:42,Country
57,Smash Mouth,Then The Morning Comes,3:04,Rock
58,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap
59,Jagged Edge,Let's Get Married,4:23,Rock
60,Filter,Take A Picture,4:23,Rock
61,"Martin, Ricky",She Bangs,4:02,Latin
62,Mystikal,Shake Ya Ass,4:46,Rap
63,BBMak,Back Here,3:35,Rock
64,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock
65,Third Eye Blind,Never Let You Go,3:57,Rock
66,Red Hot Chili Peppers,Otherside,4:13,Rock
67,Profyle,Liar,3:57,R&B
68,Barenaked Ladies,Pinch Me,3:46,Rock
69,Jagged Edge,He Can't Love U,3:30,Rock
70,504 Boyz,Wobble Wobble,3:35,Rap
71,Sting,Desert Rose,3:52,Rock
72,Jay-Z,Big Pimpin',3:55,Rap
73,Kid Rock,Only God Knows Why,5:27,Rock
74,Foo Fighters,Learn To Fly,3:55,Rock
75,"Dixie Chicks, The",Goodbye Earl,4:19,Country
76,Guy,Dancin',4:08,R&B
77,Lil Bow Wow,Bounce With Me,3:22,Rap
78,Westlife,Swear It Again,4:07,Rock
79,Train,Meet Virginia,3:55,Rock
80,"Thomas, Carl",I Wish,3:50,Rock
81,Hanson,This Time Around,4:14,Country
82,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop
83,Ludacris,What's Your Fantasy,4:16,Rap
84,Lil' Zane,Callin' Me,3:43,Rap
85,M2M,Don't Say You Love Me,3:41,Pop
86,SoulDecision,Faded,3:25,Rock
87,"Brock, Chad",Yes!,3:22,Country
88,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin
89,Vertical Horizon,You're A God,3:45,Rock
90,Avant,Separated,4:13,Rock
91,"Rimes, LeAnn",Big Deal,3:03,Country
92,IMx,Stay The Night,3:37,Rap
93,Dr. Dre,The Next Episode,2:38,Rap
94,"Spears, Britney",Lucky,3:23,Rock
95,Savage Garden,Crash And Burn,4:41,Rock
96,Kandi,Don't Think I'm Not,3:50,Rock
97,Sammie,I Like It,4:09,Rock
98,Goo Goo Dolls,Broadway,3:54,Rock
99,"Moore, Mandy",I Wanna Be With You,4:12,Pop
100,Dr. Dre,Forgot About Dre,3:42,Rap
101,D'Angelo,Untitled (How Does It Feel),7:10,R&B
102,"Messina, Jo Dee",That's The Way,3:17,Country
103,Avant,My First Love,4:28,Rock
104,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin
105,Da Brat,What'Chu Like,3:57,Rap
106,DMX,Party Up (Up In Here),3:45,Rap
107,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country
108,"McGraw, Tim",My Next Thirty Years,3:37,Country
109,"Tritt, Travis",Best Of Intentions,4:15,Country
110,Alice Deejay,Better Off Alone,6:50,Electronica
111,Hoku,Another Dumb Blonde,3:47,Pop
112,"Houston, Whitney",I Learned From The Best,4:18,Rock
113,Counting Crows,Hanginaround,4:07,Rock
114,Mary Mary,Shackles (Praise You),3:12,Rock
115,"Carey, Mariah",Crybaby,5:19,Rock
116,"McGraw, Tim",My Best Friend,4:33,Country
117,Sugar Ray,Falls Apart,4:15,Rock
118,Madonna,American Pie,4:30,Rock
119,"Jones, Donell",Where I Wanna Be,6:22,Rock
120,"Paisley, Brad",We Danced,3:45,Country
121,Lonestar,What About Now,3:30,Country
122,"Backstreet Boys, The",The One,3:46,Rock
123,"Keith, Toby",How Do You Like Me Now?!,3:29,Country
124,"Strait, George",The Best Day,3:24,Country
125,"Dixie Chicks, The",Without You,3:32,Country
126,Musiq,Just Friends (Sunny),4:02,Rap
127,"McEntire, Reba",What Do You Say,3:26,Country
128,"Braxton, Toni",Just Be A Man About It,4:10,Rock
129,"Iglesias, Enrique",Rhythm Divine,7:35,Latin
130,"Fabian, Lara",I Will Love Again,3:43,Pop
131,Bon Jovi,It's My Life,3:44,Rock
132,"Evans, Sara",Born To Fly,5:36,Country
133,"Chesney, Kenny",I Lost It,3:54,Country
134,J-Shin,One Night Stand,4:34,R&B
135,Eve,Love Is Blind,3:51,Rap
136,Aaliyah,I Don't Wanna,4:15,Rock
137,"Montgomery, John Michael",The Little Girl,3:52,Country
138,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B
139,"Vassar, Phil",Just Another Day In Paradise,3:54,Country
140,Ice Cube,You Can Do It,4:20,Rap
141,"Wills, Mark",Back At One,4:00,Country
142,Lucy Pearl,Dance Tonight,3:45,R&B
143,"Jackson, Alan",It Must Be Love,2:53,Country
144,"Griggs, Andy",She's More,3:19,Country
145,No Doubt,Simple Kind Of Life,4:11,Rock
146,"Jean, Wyclef",911,4:00,Rap
147,Rascal Flatts,Prayin' For Daylight,3:36,Country
148,Vitamin C,Graduation (Friends Forever),4:23,Rock
149,"Gilman, Billy",One Voice,4:07,Country
150,Lonestar,Smile,3:33,Country
151,"Rogers, Kenny",Buy Me A Rose,3:46,Country
152,"Lawrence, Tracy",Lessons Learned,2:55,Country
153,"Strait, George",Go On,3:48,Country
154,Sisqo,Got To Get It,3:52,Rock
155,Baha Men,Who Let The Dogs Out,3:17,R&B
156,"Walker, Clay",The Chain Of Love,5:03,Country
157,"McBride, Martina",Love's The Only House,5:13,Country
158,Amber,Sexual (Li Da Di),4:38,Rock
159,"Tippin, Aaron",Kiss This,2:53,Country
160,SheDaisy,I Will.. But,3:40,Country
161,"Raye, Collin",Couldn't Last A Moment,3:40,Country
162,Black Rob,Whoa!,4:04,Rap
163,"Jackson, Alan",Pop A Top,3:04,Country
164,"Black, Clint",Been There,5:28,Country
165,Common,The Light,3:55,Rap
166,"Vassar, Phil",Carlene,4:07,Country
167,"Jackson, Alan",www.memory,2:36,Country
