iso2,year,new_sp,sex,age,count
AD,1989,,f,0-14,
AD,1990,,f,0-14,
AD,1991,,f,0-14,
AD,1992,,f,0-14,
AD,1993,15.0,f,0-14,
AD,1994,24.0,f,0-14,
AD,1996,8.0,f,0-14,0.0
AD,1997,17.0,f,0-14,0.0
AD,1998,1.0,f,0-14,
AD,1999,4.0,f,0-14,0.0
AD,2000,1.0,f,0-14,
AD,2001,3.0,f,0-14,
AD,2002,2.0,f,0-14,0.0
AD,2003,7.0,f,0-14,0.0
AD,2004,3.0,f,0-14,0.0
AD,2005,5.0,f,0-14,0.0
AD,2006,8.0,f,0-14,0.0
AD,2007,2.0,f,0-14,
AD,2008,3.0,f,0-14,0.0
AD,1989,,f,0-4,
AD,1990,,f,0-4,
AD,1991,,f,0-4,
AD,1992,,f,0-4,
AD,1993,15.0,f,0-4,
AD,1994,24.0,f,0-4,
AD,1996,8.0,f,0-4,
AD,1997,17.0,f,0-4,
AD,1998,1.0,f,0-4,
AD,1999,4.0,f,0-4,
AD,2000,1.0,f,0-4,
AD,2001,3.0,f,0-4,
AD,2002,2.0,f,0-4,
AD,2003,7.0,f,0-4,
AD,2004,3.0,f,0-4,
AD,2005,5.0,f,0-4,0.0
AD,2006,8.0,f,0-4,0.0
AD,2007,2.0,f,0-4,
AD,2008,3.0,f,0-4,0.0
AD,1989,,f,15-24,
AD,1990,,f,15-24,
AD,1991,,f,15-24,
AD,1992,,f,15-24,
AD,1993,15.0,f,15-24,
AD,1994,24.0,f,15-24,
AD,1996,8.0,f,15-24,1.0
AD,1997,17.0,f,15-24,1.0
AD,1998,1.0,f,15-24,
AD,1999,4.0,f,15-24,0.0
AD,2000,1.0,f,15-24,
AD,2001,3.0,f,15-24,
AD,2002,2.0,f,15-24,1.0
AD,2003,7.0,f,15-24,1.0
AD,2004,3.0,f,15-24,0.0
AD,2005,5.0,f,15-24,1.0
AD,2006,8.0,f,15-24,0.0
AD,2007,2.0,f,15-24,
AD,2008,3.0,f,15-24,0.0
AD,1989,,f,25-34,
AD,1990,,f,25-34,
AD,1991,,f,25-34,
AD,1992,,f,25-34,
AD,1993,15.0,f,25-34,
AD,1994,24.0,f,25-34,
AD,1996,8.0,f,25-34,1.0
AD,1997,17.0,f,25-34,2.0
AD,1998,1.0,f,25-34,
AD,1999,4.0,f,25-34,0.0
AD,2000,1.0,f,25-34,
AD,2001,3.0,f,25-34,
AD,2002,2.0,f,25-34,0.0
AD,2003,7.0,f,25-34,1.0
AD,2004,3.0,f,25-34,1.0
AD,2005,5.0,f,25-34,1.0
AD,2006,8.0,f,25-34,1.0
AD,2007,2.0,f,25-34,1.0
AD,2008,3.0,f,25-34,0.0
AD,1989,,f,35-44,
AD,1990,,f,35-44,
AD,1991,,f,35-44,
AD,1992,,f,35-44,
AD,1993,15.0,f,35-44,
AD,1994,24.0,f,35-44,
AD,1996,8.0,f,35-44,0.0
AD,1997,17.0,f,35-44,3.0
AD,1998,1.0,f,35-44,
AD,1999,4.0,f,35-44,1.0
AD,2000,1.0,f,35-44,
AD,2001,3.0,f,35-44,
AD,2002,2.0,f,35-44,0.0
AD,2003,7.0,f,35-44,1.0
AD,2004,3.0,f,35-44,0.0
AD,2005,5.0,f,35-44,1.0
AD,2006,8.0,f,35-44,0.0
AD,2007,2.0,f,35-44,
AD,2008,3.0,f,35-44,1.0
AD,1989,,f,45-54,
AD,1990,,f,45-54,
AD,1991,,f,45-54,
AD,1992,,f,45-54,
AD,1993,15.0,f,45-54,
AD,1994,24.0,f,45-54,
AD,1996,8.0,f,45-54,0.0
AD,1997,17.0,f,45-54,0.0
AD,1998,1.0,f,45-54,
AD,1999,4.0,f,45-54,0.0
AD,2000,1.0,f,45-54,
AD,2001,3.0,f,45-54,
AD,2002,2.0,f,45-54,0.0
AD,2003,7.0,f,45-54,0.0
AD,2004,3.0,f,45-54,0.0
AD,2005,5.0,f,45-54,0.0
AD,2006,8.0,f,45-54,1.0
AD,2007,2.0,f,45-54,1.0
AD,2008,3.0,f,45-54,1.0
AD,1989,,f,5-14,
AD,1990,,f,5-14,
AD,1991,,f,5-14,
AD,1992,,f,5-14,
AD,1993,15.0,f,5-14,
AD,1994,24.0,f,5-14,
AD,1996,8.0,f,5-14,
AD,1997,17.0,f,5-14,
AD,1998,1.0,f,5-14,
AD,1999,4.0,f,5-14,
AD,2000,1.0,f,5-14,
AD,2001,3.0,f,5-14,
AD,2002,2.0,f,5-14,
AD,2003,7.0,f,5-14,
AD,2004,3.0,f,5-14,
AD,2005,5.0,f,5-14,0.0
AD,2006,8.0,f,5-14,0.0
AD,2007,2.0,f,5-14,
AD,2008,3.0,f,5-14,0.0
AD,1989,,f,55-64,
AD,1990,,f,55-64,
AD,1991,,f,55-64,
AD,1992,,f,55-64,
AD,1993,15.0,f,55-64,
AD,1994,24.0,f,55-64,
AD,1996,8.0,f,55-64,1.0
AD,1997,17.0,f,55-64,0.0
AD,1998,1.0,f,55-64,
AD,1999,4.0,f,55-64,0.0
AD,2000,1.0,f,55-64,
AD,2001,3.0,f,55-64,
AD,2002,2.0,f,55-64,0.0
AD,2003,7.0,f,55-64,0.0
AD,2004,3.0,f,55-64,0.0
AD,2005,5.0,f,55-64,0.0
AD,2006,8.0,f,55-64,0.0
AD,2007,2.0,f,55-64,
AD,2008,3.0,f,55-64,0.0
AD,1989,,f,6-5,
AD,1990,,f,6-5,
AD,1991,,f,6-5,
AD,1992,,f,6-5,
AD,1993,15.0,f,6-5,
AD,1994,24.0,f,6-5,
AD,1996,8.0,f,6-5,0.0
AD,1997,17.0,f,6-5,1.0
AD,1998,1.0,f,6-5,
AD,1999,4.0,f,6-5,0.0
AD,2000,1.0,f,6-5,
AD,2001,3.0,f,6-5,
AD,2002,2.0,f,6-5,0.0
AD,2003,7.0,f,6-5,0.0
AD,2004,3.0,f,6-5,0.0
AD,2005,5.0,f,6-5,0.0
AD,2006,8.0,f,6-5,0.0
AD,2007,2.0,f,6-5,
AD,2008,3.0,f,6-5,0.0
AD,1989,,f,u,
AD,1990,,f,u,
AD,1991,,f,u,
AD,1992,,f,u,
AD,1993,15.0,f,u,
AD,1994,24.0,f,u,
AD,1996,8.0,f,u,
AD,1997,17.0,f,u,
AD,1998,1.0,f,u,
AD,1999,4.0,f,u,
AD,2000,1.0,f,u,
AD,2001,3.0,f,u,
AD,2002,2.0,f,u,
AD,2003,7.0,f,u,
AD,2004,3.0,f,u,
AD,2005,5.0,f,u,0.0
AD,2006,8.0,f,u,0.0
AD,2007,2.0,f,u,
AD,2008,3.0,f,u,0.0
AD,1989,,m,0-14,
AD,1990,,m,0-14,
AD,1991,,m,0-14,
AD,1992,,m,0-14,
AD,1993,15.0,m,0-14,
AD,1994,24.0,m,0-14,
AD,1996,8.0,m,0-14,0.0
AD,1997,17.0,m,0-14,0.0
AD,1998,1.0,m,0-14,0.0
AD,1999,4.0,m,0-14,0.0
AD,2000,1.0,m,0-14,0.0
AD,2001,3.0,m,0-14,0.0
AD,2002,2.0,m,0-14,0.0
AD,2003,7.0,m,0-14,0.0
AD,2004,3.0,m,0-14,0.0
AD,2005,5.0,m,0-14,0.0
AD,2006,8.0,m,0-14,0.0
AD,2007,2.0,m,0-14,
AD,2008,3.0,m,0-14,0.0
AD,1989,,m,0-4,
AD,1990,,m,0-4,
AD,1991,,m,0-4,
AD,1992,,m,0-4,
AD,1993,15.0,m,0-4,
AD,1994,24.0,m,0-4,
AD,1996,8.0,m,0-4,
AD,1997,17.0,m,0-4,
AD,1998,1.0,m,0-4,
AD,1999,4.0,m,0-4,
AD,2000,1.0,m,0-4,
AD,2001,3.0,m,0-4,
AD,2002,2.0,m,0-4,
AD,2003,7.0,m,0-4,
AD,2004,3.0,m,0-4,
AD,2005,5.0,m,0-4,0.0
AD,2006,8.0,m,0-4,0.0
AD,2007,2.0,m,0-4,
AD,2008,3.0,m,0-4,0.0
AD,1989,,m,15-24,
AD,1990,,m,15-24,
AD,1991,,m,15-24,
AD,1992,,m,15-24,
AD,1993,15.0,m,15-24,
AD,1994,24.0,m,15-24,
AD,1996,8.0,m,15-24,0.0
AD,1997,17.0,m,15-24,0.0
AD,1998,1.0,m,15-24,0.0
AD,1999,4.0,m,15-24,0.0
AD,2000,1.0,m,15-24,0.0
AD,2001,3.0,m,15-24,
AD,2002,2.0,m,15-24,0.0
AD,2003,7.0,m,15-24,0.0
AD,2004,3.0,m,15-24,0.0
AD,2005,5.0,m,15-24,0.0
AD,2006,8.0,m,15-24,1.0
AD,2007,2.0,m,15-24,
AD,2008,3.0,m,15-24,0.0
AD,1989,,m,25-34,
AD,1990,,m,25-34,
AD,1991,,m,25-34,
AD,1992,,m,25-34,
AD,1993,15.0,m,25-34,
AD,1994,24.0,m,25-34,
AD,1996,8.0,m,25-34,0.0
AD,1997,17.0,m,25-34,1.0
AD,1998,1.0,m,25-34,0.0
AD,1999,4.0,m,25-34,0.0
AD,2000,1.0,m,25-34,1.0
AD,2001,3.0,m,25-34,
AD,2002,2.0,m,25-34,0.0
AD,2003,7.0,m,25-34,0.0
AD,2004,3.0,m,25-34,0.0
AD,2005,5.0,m,25-34,1.0
AD,2006,8.0,m,25-34,1.0
AD,2007,2.0,m,25-34,
AD,2008,3.0,m,25-34,0.0
AD,1989,,m,35-44,
AD,1990,,m,35-44,
AD,1991,,m,35-44,
AD,1992,,m,35-44,
AD,1993,15.0,m,35-44,
AD,1994,24.0,m,35-44,
AD,1996,8.0,m,35-44,4.0
AD,1997,17.0,m,35-44,2.0
AD,1998,1.0,m,35-44,1.0
AD,1999,4.0,m,35-44,1.0
AD,2000,1.0,m,35-44,0.0
AD,2001,3.0,m,35-44,2.0
AD,2002,2.0,m,35-44,1.0
AD,2003,7.0,m,35-44,1.0
AD,2004,3.0,m,35-44,1.0
AD,2005,5.0,m,35-44,1.0
AD,2006,8.0,m,35-44,2.0
AD,2007,2.0,m,35-44,
AD,2008,3.0,m,35-44,0.0
AD,1989,,m,45-54,
AD,1990,,m,45-54,
AD,1991,,m,45-54,
AD,1992,,m,45-54,
AD,1993,15.0,m,45-54,
AD,1994,24.0,m,45-54,
AD,1996,8.0,m,45-54,1.0
AD,1997,17.0,m,45-54,2.0
AD,1998,1.0,m,45-54,0.0
AD,1999,4.0,m,45-54,1.0
AD,2000,1.0,m,45-54,0.0
AD,2001,3.0,m,45-54,1.0
AD,2002,2.0,m,45-54,0.0
AD,2003,7.0,m,45-54,2.0
AD,2004,3.0,m,45-54,1.0
AD,2005,5.0,m,45-54,0.0
AD,2006,8.0,m,45-54,0.0
AD,2007,2.0,m,45-54,
AD,2008,3.0,m,45-54,1.0
AD,1989,,m,5-14,
AD,1990,,m,5-14,
AD,1991,,m,5-14,
AD,1992,,m,5-14,
AD,1993,15.0,m,5-14,
AD,1994,24.0,m,5-14,
AD,1996,8.0,m,5-14,
AD,1997,17.0,m,5-14,
AD,1998,1.0,m,5-14,
AD,1999,4.0,m,5-14,
AD,2000,1.0,m,5-14,
AD,2001,3.0,m,5-14,
AD,2002,2.0,m,5-14,
AD,2003,7.0,m,5-14,
AD,2004,3.0,m,5-14,
AD,2005,5.0,m,5-14,0.0
AD,2006,8.0,m,5-14,0.0
AD,2007,2.0,m,5-14,
AD,2008,3.0,m,5-14,0.0
AD,1989,,m,55-64,
AD,1990,,m,55-64,
AD,1991,,m,55-64,
AD,1992,,m,55-64,
AD,1993,15.0,m,55-64,
AD,1994,24.0,m,55-64,
AD,1996,8.0,m,55-64,0.0
AD,1997,17.0,m,55-64,1.0
AD,1998,1.0,m,55-64,0.0
AD,1999,4.0,m,55-64,0.0
AD,2000,1.0,m,55-64,0.0
AD,2001,3.0,m,55-64,
AD,2002,2.0,m,55-64,0.0
AD,2003,7.0,m,55-64,0.0
AD,2004,3.0,m,55-64,0.0
AD,2005,5.0,m,55-64,0.0
AD,2006,8.0,m,55-64,1.0
AD,2007,2.0,m,55-64,
AD,2008,3.0,m,55-64,0.0
AD,1989,,m,6-5,
AD,1990,,m,6-5,
AD,1991,,m,6-5,
